Bill Date,Invoice ID,Product ID,Product Name,Product Category,Brand,Qty Sold,Selling Price per Unit,MRP,Discount Offered(%),Discount Amount,Net Amount,Branch Name,Sales Channel,Customer Segment,Payment Mode,Region
02-01-2022 00:00,INV202104026171,P003,V1600D4-L,GEPON OLT,Netlink,3,90000,100000,10,30000,270000,Perumbavoor,Distributor,Distributor,EMI,Tamil Nadu
02-01-2022 00:00,INV202104024316,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,75,1900,2000,5,7500,142500,Perumbavoor,Retail,ISP,EMI,Kerala
02-01-2022 00:00,INV202104027066,P003,V1600D4-L,GEPON OLT,Netlink,2,90000,100000,10,20000,180000,Coimbatore,Distributor,ISP,Credit,Delhi
03-01-2022 00:00,SYN202201030000,P004,V1600G2,GPON OLT,Netlink,2,180000,200000,10,40000,360000,Coimbatore,Retail,Retailer,Full Cash,Tamil Nadu
04-01-2022 00:00,SYN202201040001,P003,V1600D4-L,GEPON OLT,Netlink,4,90000,100000,10,40000,360000,Perumbavoor,Wholesale,ISP,Full Cash,Karnataka
05-01-2022 00:00,INV202104051435,P003,V1600D4-L,GEPON OLT,Netlink,7,90000,100000,10,70000,630000,Ernakulam,Distributor,Retailer,EMI,Kerala
05-01-2022 00:00,INV202104054431,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2264,95,100,5,11320,215080,Ernakulam,Distributor,ISP,EMI,Kerala
05-01-2022 00:00,INV202104059021,P004,Termination Box 2-Way Model,Distribution Products,Opton,80,1900,2000,5,8000,152000,Bangalore,Distributor,Distributor,EMI,Tamil Nadu
05-01-2022 00:00,INV202104051782,P004,Termination Box 2-Way Model,Distribution Products,Opton,190,1900,2000,5,19000,361000,Coimbatore,Distributor,ISP,Full Cash,Delhi
05-01-2022 00:00,INV202104052183,P004,V1600G2,GPON OLT,Netlink,6,180000,200000,10,120000,1080000,Ernakulam,Wholesale,ISP,Credit,Tamil Nadu
05-01-2022 00:00,INV202104057645,P003,V1600D4-L,GEPON OLT,Netlink,1,90000,100000,10,10000,90000,,Wholesale,Retailer,Credit,Tamil Nadu
05-01-2022 00:00,INV202104056442,P004,V1600G2,GPON OLT,Netlink,4,180000,200000,10,80000,720000,Coimbatore,Distributor,Retailer,Credit,Telangana
05-01-2022 00:00,INV202104059191,P004,V1600G2,GPON OLT,Netlink,1,180000,200000,10,20000,180000,Ernakulam,Retail,ISP,Credit,Tamil Nadu
05-01-2022 00:00,INV202104055333,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,281,1900,2000,5,28100,533900,Coimbatore,Retail,ISP,Full Cash,Telangana
05-01-2022 00:00,INV202104059750,P005,HG2802RGWT,GPON ONT,Netlink,274,4750,5000,5,68500,1301500,Chennai,Distributor,Retailer,EMI,Tamil Nadu
06-01-2022 00:00,INV202104068800,P004,Termination Box 2-Way Model,Distribution Products,Opton,51,1900,2000,5,5100,96900,Bangalore,Wholesale,Distributor,EMI,Tamil Nadu
06-01-2022 00:00,INV202104063151,P004,Termination Box 2-Way Model,Distribution Products,Opton,186,1900,2000,5,18600,353400,Coimbatore,Retail,ISP,EMI,Delhi
06-01-2022 00:00,INV202104062477,P005,HG2802RGWT,GPON ONT,Netlink,176,4750,5000,5,44000,836000,Chennai,Distributor,Distributor,Full Cash,Tamil Nadu
06-01-2022 00:00,INV202104066405,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2202,95,100,5,11010,209190,Coimbatore,Distributor,ISP,Credit,Delhi
06-01-2022 00:00,INV202104062486,P004,V1600G2,GPON OLT,Netlink,6,180000,200000,10,120000,1080000,Bangalore,Retail,ISP,EMI,Tamil Nadu
06-01-2022 00:00,INV202104065015,P003,V1600D4-L,GEPON OLT,Netlink,7,90000,100000,10,70000,630000,Coimbatore,Distributor,ISP,EMI,Telangana
06-01-2022 00:00,INV202104065795,P004,V1600G2,GPON OLT,Netlink,3,180000,200000,10,60000,540000,Coimbatore,Distributor,ISP,Credit,Tamil Nadu
06-01-2022 00:00,INV202104067993,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,255,1900,2000,5,25500,484500,Coimbatore,Distributor,Distributor,EMI,Delhi
06-01-2022 00:00,INV202104066560,P005,HG2802RGWT,GPON ONT,Netlink,93,4750,5000,5,23250,441750,Coimbatore,Distributor,Distributor,EMI,Telangana
07-01-2022 00:00,INV202104075819,P005,HG2802RGWT,GPON ONT,Netlink,3,4750,5000,5,750,14250,Perumbavoor,Distributor,Distributor,EMI,Tamil Nadu
07-01-2022 00:00,INV202104077833,P004,V1600G2,GPON OLT,Netlink,9,180000,200000,10,180000,1620000,Perumbavoor,Retail,ISP,Full Cash,Kerala
07-01-2022 00:00,INV202104074617,P004,Termination Box 2-Way Model,Distribution Products,Opton,94,1900,2000,5,9400,178600,Bangalore,Wholesale,ISP,Credit,Tamil Nadu
07-01-2022 00:00,INV202104078141,P004,V1600G2,GPON OLT,Netlink,2,180000,200000,10,40000,360000,Chennai,Distributor,Retailer,EMI,Tamil Nadu
07-01-2022 00:00,INV202104073708,P003,V1600D4-L,GEPON OLT,Netlink,1,90000,100000,10,10000,90000,Bangalore,Retail,ISP,Full Cash,Tamil Nadu
07-01-2022 00:00,INV202104079672,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2139,95,100,5,10695,203205,Perumbavoor,Wholesale,Retailer,EMI,Kerala
07-01-2022 00:00,INV202104075364,P003,V1600D4-L,GEPON OLT,Netlink,4,90000,100000,10,40000,360000,Perumbavoor,Distributor,ISP,Credit,Tamil Nadu
07-01-2022 00:00,INV202104077927,P003,V1600D4-L,GEPON OLT,Netlink,2,90000,100000,10,20000,180000,Chennai,Distributor,ISP,Full Cash,Tamil Nadu
07-01-2022 00:00,INV202104075666,P004,Termination Box 2-Way Model,Distribution Products,Opton,151,1900,2000,5,15100,286900,Bangalore,Wholesale,Distributor,Credit,Tamil Nadu
07-01-2022 00:00,INV202104079882,P005,HG2802RGWT,GPON ONT,Netlink,106,4750,5000,5,26500,503500,Ernakulam,Distributor,Distributor,Full Cash,Kerala
07-01-2022 00:00,INV202104072500,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,229,1900,2000,5,22900,435100,Bangalore,Distributor,Retailer,Full Cash,Tamil Nadu
07-01-2022 00:00,INV202104074029,P005,HG2802RGWT,GPON ONT,Netlink,146,4750,5000,5,36500,693500,Ernakulam,Wholesale,ISP,EMI,Tamil Nadu
08-01-2022 00:00,INV202104085534,P004,V1600G2,GPON OLT,Netlink,11,180000,200000,10,220000,1980000,Coimbatore,Distributor,ISP,Credit,Tamil Nadu
08-01-2022 00:00,INV202104082280,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2008,95,100,5,10040,190760,Ernakulam,Distributor,Retailer,Credit,Kerala
08-01-2022 00:00,INV202104083360,P003,V1600D4-L,GEPON OLT,Netlink,9,90000,100000,10,90000,810000,Coimbatore,Distributor,ISP,EMI,Tamil Nadu
08-01-2022 00:00,INV202104082770,P004,Termination Box 2-Way Model,Distribution Products,Opton,237,1900,2000,5,23700,450300,Bangalore,Retail,ISP,Full Cash,Tamil Nadu
08-01-2022 00:00,INV202104082343,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,59,1900,2000,5,5900,112100,Coimbatore,Distributor,Retailer,EMI,Tamil Nadu
08-01-2022 00:00,INV202104083453,P005,HG2802RGWT,GPON ONT,Netlink,267,4750,5000,5,66750,1268250,,Retail,Distributor,Credit,Tamil Nadu
08-01-2022 00:00,INV202104084598,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,80,1900,2000,5,8000,152000,Perumbavoor,Retail,ISP,EMI,Kerala
08-01-2022 00:00,INV202104088725,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,55,1900,2000,5,5500,104500,Bangalore,Distributor,ISP,Credit,Tamil Nadu
09-01-2022 00:00,INV202104094868,P003,V1600D4-L,GEPON OLT,Netlink,2,90000,100000,10,20000,180000,Perumbavoor,Wholesale,ISP,EMI,Kerala
09-01-2022 00:00,INV202104092545,P004,Termination Box 2-Way Model,Distribution Products,Opton,33,1900,2000,5,3300,62700,Bangalore,Wholesale,Retailer,Credit,Tamil Nadu
09-01-2022 00:00,INV202104092877,P004,V1600G2,GPON OLT,Netlink,10,180000,200000,10,200000,1800000,Coimbatore,Wholesale,ISP,Full Cash,Telangana
09-01-2022 00:00,INV202104092706,P005,HG2802RGWT,GPON ONT,Netlink,86,4750,5000,5,21500,408500,Coimbatore,Wholesale,ISP,Full Cash,Tamil Nadu
09-01-2022 00:00,INV202104093759,P003,V1600D4-L,GEPON OLT,Netlink,1,90000,100000,10,10000,90000,Ernakulam,Retail,Distributor,Credit,Kerala
09-01-2022 00:00,INV202104099170,P005,HG2802RGWT,GPON ONT,Netlink,159,4750,5000,5,39750,755250,Coimbatore,Retail,ISP,Credit,Delhi
09-01-2022 00:00,INV202104097437,P004,Termination Box 2-Way Model,Distribution Products,Opton,25,1900,2000,5,2500,47500,Coimbatore,Distributor,ISP,EMI,Delhi
09-01-2022 00:00,INV202104099503,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2099,95,100,5,10495,199405,Perumbavoor,Distributor,ISP,Full Cash,Tamil Nadu
09-01-2022 00:00,INV202104093949,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,170,1900,2000,5,17000,323000,Ernakulam,Retail,Retailer,Credit,Kerala
09-01-2022 00:00,INV202104092472,P003,V1600D4-L,GEPON OLT,Netlink,5,90000,100000,10,50000,450000,Ernakulam,Wholesale,ISP,Full Cash,Kerala
09-01-2022 00:00,INV202104093410,P004,Termination Box 2-Way Model,Distribution Products,Opton,198,1900,2000,5,19800,376200,Bangalore,Wholesale,Distributor,EMI,Tamil Nadu
09-01-2022 00:00,INV202104092179,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,36,1900,2000,5,3600,68400,Chennai,Distributor,Distributor,EMI,Tamil Nadu
10-01-2022 00:00,SYN202201100002,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,226,1900,2000,5,22600,429400,Ernakulam,Distributor,Enterprise,Credit,Kerala
11-01-2022 00:00,SYN202201110003,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,212,1900,2000,5,21200,402800,Ernakulam,Retail,Retailer,Full Cash,Karnataka
12-01-2022 00:00,INV202104121731,P004,V1600G2,GPON OLT,Netlink,9,180000,200000,10,180000,1620000,Perumbavoor,Distributor,ISP,Full Cash,Kerala
12-01-2022 00:00,INV202104129464,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1080,95,100,5,5400,102600,Coimbatore,Distributor,ISP,Full Cash,Tamil Nadu
12-01-2022 00:00,INV202104124884,P003,V1600D4-L,GEPON OLT,Netlink,5,90000,100000,10,50000,450000,Perumbavoor,Distributor,ISP,EMI,Kerala
12-01-2022 00:00,INV202104122849,P004,Termination Box 2-Way Model,Distribution Products,Opton,244,1900,2000,5,24400,463600,Bangalore,Distributor,ISP,EMI,Tamil Nadu
12-01-2022 00:00,INV202104121074,P005,HG2802RGWT,GPON ONT,Netlink,235,4750,5000,5,58750,1116250,Chennai,Wholesale,ISP,Credit,Tamil Nadu
12-01-2022 00:00,INV202104129197,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1382,95,100,5,6910,131290,Coimbatore,Wholesale,ISP,Full Cash,Telangana
12-01-2022 00:00,INV202104122411,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,224,1900,2000,5,22400,425600,Chennai,Distributor,ISP,EMI,Tamil Nadu
12-01-2022 00:00,INV202104127277,P003,V1600D4-L,GEPON OLT,Netlink,4,90000,100000,10,40000,360000,Ernakulam,Wholesale,ISP,Credit,Kerala
13-01-2022 00:00,INV202104131811,P004,V1600G2,GPON OLT,Netlink,10,180000,200000,10,200000,1800000,Perumbavoor,Distributor,ISP,Credit,Kerala
13-01-2022 00:00,INV202104134728,P003,V1600D4-L,GEPON OLT,Netlink,1,90000,100000,10,10000,90000,Coimbatore,Retail,ISP,Credit,Delhi
13-01-2022 00:00,INV202104132912,P004,Termination Box 2-Way Model,Distribution Products,Opton,163,1900,2000,5,16300,309700,Coimbatore,Distributor,ISP,,Telangana
13-01-2022 00:00,INV202104134764,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,232,1900,2000,5,23200,440800,Chennai,Retail,ISP,EMI,Tamil Nadu
13-01-2022 00:00,INV202104135183,P005,HG2802RGWT,GPON ONT,Netlink,231,4750,5000,5,57750,1097250,Chennai,Distributor,ISP,EMI,Tamil Nadu
13-01-2022 00:00,INV202104132892,P003,V1600D4-L,GEPON OLT,Netlink,8,90000,100000,10,80000,720000,Perumbavoor,Distributor,ISP,Credit,Tamil Nadu
13-01-2022 00:00,INV202104135955,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2526,95,100,5,12630,239970,Perumbavoor,Distributor,ISP,Full Cash,Tamil Nadu
13-01-2022 00:00,INV202104131173,P004,Termination Box 2-Way Model,Distribution Products,Opton,93,1900,2000,5,9300,176700,Ernakulam,Distributor,Distributor,EMI,Kerala
14-01-2022 00:00,INV202104147861,P005,HG2802RGWT,GPON ONT,Netlink,96,4750,5000,5,24000,456000,Ernakulam,Distributor,Retailer,Credit,Tamil Nadu
14-01-2022 00:00,INV202104149259,P004,Termination Box 2-Way Model,Distribution Products,Opton,141,1900,2000,5,14100,267900,Bangalore,Retail,ISP,EMI,Tamil Nadu
14-01-2022 00:00,INV202104148620,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2345,95,100,5,11725,222775,Ernakulam,Distributor,ISP,Credit,Kerala
14-01-2022 00:00,INV202104141517,P004,V1600G2,GPON OLT,Netlink,4,180000,200000,10,80000,720000,Ernakulam,Distributor,Retailer,Full Cash,Tamil Nadu
14-01-2022 00:00,INV202104149449,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,239,1900,2000,5,23900,454100,Perumbavoor,Distributor,ISP,EMI,Tamil Nadu
14-01-2022 00:00,INV202104146992,P003,V1600D4-L,GEPON OLT,Netlink,8,90000,100000,10,80000,720000,Ernakulam,Wholesale,Retailer,Credit,Kerala
14-01-2022 00:00,INV202104147780,P005,HG2802RGWT,GPON ONT,Netlink,137,4750,5000,5,34250,650750,Bangalore,Retail,ISP,Credit,Tamil Nadu
14-01-2022 00:00,INV202104145427,P004,Termination Box 2-Way Model,Distribution Products,Opton,104,1900,2000,5,10400,197600,Perumbavoor,Distributor,Retailer,Credit,Kerala
14-01-2022 00:00,INV202104146317,P004,V1600G2,GPON OLT,Netlink,5,180000,200000,10,100000,900000,Ernakulam,Wholesale,ISP,EMI,Kerala
15-01-2022 00:00,INV202104153742,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,63,1900,2000,5,6300,119700,Coimbatore,Wholesale,Retailer,Credit,Telangana
15-01-2022 00:00,INV202104155004,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,184,1900,2000,5,18400,349600,Ernakulam,Distributor,Distributor,Full Cash,Tamil Nadu
15-01-2022 00:00,INV202104152113,P005,HG2802RGWT,GPON ONT,Netlink,236,4750,5000,5,59000,1121000,Bangalore,Distributor,ISP,EMI,Tamil Nadu
15-01-2022 00:00,INV202104159660,P004,V1600G2,GPON OLT,Netlink,10,180000,200000,10,200000,1800000,Coimbatore,Distributor,ISP,Full Cash,Telangana
15-01-2022 00:00,INV202104156262,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1148,95,100,5,5740,109060,Ernakulam,Wholesale,Retailer,Credit,Kerala
15-01-2022 00:00,INV202104154905,P004,Termination Box 2-Way Model,Distribution Products,Opton,236,1900,2000,5,23600,448400,Bangalore,Distributor,ISP,EMI,Tamil Nadu
15-01-2022 00:00,INV202104159628,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1407,95,100,5,7035,133665,Coimbatore,Distributor,Distributor,EMI,Tamil Nadu
15-01-2022 00:00,INV202104155369,P003,V1600D4-L,GEPON OLT,Netlink,8,90000,100000,10,80000,720000,Coimbatore,Wholesale,Retailer,Full Cash,Delhi
16-01-2022 00:00,INV202104166426,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,187,1900,2000,5,18700,355300,Coimbatore,Distributor,Distributor,Credit,Delhi
16-01-2022 00:00,INV202104167857,P004,Termination Box 2-Way Model,Distribution Products,Opton,15,1900,2000,5,1500,28500,Chennai,Distributor,ISP,Credit,Tamil Nadu
16-01-2022 00:00,INV202104166387,P003,V1600D4-L,GEPON OLT,Netlink,7,90000,100000,10,70000,630000,Ernakulam,Wholesale,ISP,Full Cash,Kerala
16-01-2022 00:00,INV202104163166,P003,V1600D4-L,GEPON OLT,Netlink,2,90000,100000,10,20000,180000,Coimbatore,Distributor,ISP,EMI,Tamil Nadu
16-01-2022 00:00,INV202104165127,P004,V1600G2,GPON OLT,Netlink,11,180000,200000,10,220000,1980000,Ernakulam,Distributor,Distributor,Credit,Tamil Nadu
16-01-2022 00:00,INV202104165962,P004,Termination Box 2-Way Model,Distribution Products,Opton,103,1900,2000,5,10300,195700,Perumbavoor,Wholesale,ISP,Credit,Tamil Nadu
16-01-2022 00:00,INV202104163788,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,56,1900,2000,5,5600,106400,Coimbatore,Distributor,Retailer,EMI,Delhi
16-01-2022 00:00,INV202104166583,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2717,95,100,5,13585,258115,Ernakulam,Distributor,Retailer,Full Cash,Kerala
16-01-2022 00:00,INV202104165317,P004,Termination Box 2-Way Model,Distribution Products,Opton,90,1900,2000,5,9000,171000,Ernakulam,Distributor,Retailer,Credit,Kerala
16-01-2022 00:00,INV202104162579,P005,HG2802RGWT,GPON ONT,Netlink,280,4750,5000,5,70000,1330000,Ernakulam,Distributor,Distributor,Credit,Kerala
17-01-2022 00:00,SYN202201170004,P004,V1600G2,GPON OLT,Netlink,1,180000,200000,10,20000,180000,Ernakulam,Wholesale,Distributor,Credit,Karnataka
18-01-2022 00:00,SYN202201180005,P005,HG2802RGWT,GPON ONT,Netlink,207,4750,5000,5,51750,983250,Ernakulam,Retail,Retailer,EMI,Kerala
19-01-2022 00:00,INV202104198748,P004,Termination Box 2-Way Model,Distribution Products,Opton,87,1900,2000,5,8700,165300,Perumbavoor,Wholesale,Retailer,Credit,Kerala
19-01-2022 00:00,INV202104192628,P003,V1600D4-L,GEPON OLT,Netlink,8,90000,100000,10,80000,720000,Perumbavoor,Distributor,ISP,EMI,Tamil Nadu
19-01-2022 00:00,INV202104198202,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2750,95,100,5,13750,261250,Bangalore,Distributor,ISP,EMI,Tamil Nadu
19-01-2022 00:00,INV202104194661,P005,HG2802RGWT,GPON ONT,Netlink,198,4750,5000,5,49500,940500,Coimbatore,Distributor,ISP,Credit,Telangana
19-01-2022 00:00,INV202104193753,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,138,1900,2000,5,13800,262200,Perumbavoor,Distributor,Retailer,EMI,Kerala
19-01-2022 00:00,INV202104197772,P004,V1600G2,GPON OLT,Netlink,12,180000,200000,10,240000,2160000,Chennai,Distributor,Retailer,Full Cash,Tamil Nadu
19-01-2022 00:00,INV202104193394,P004,Termination Box 2-Way Model,Distribution Products,Opton,139,1900,2000,5,13900,264100,Perumbavoor,Distributor,ISP,Full Cash,Kerala
19-01-2022 00:00,INV202104191077,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,110,1900,2000,5,11000,209000,,Distributor,ISP,Credit,Tamil Nadu
19-01-2022 00:00,INV202104194626,P005,HG2802RGWT,GPON ONT,Netlink,100,4750,5000,5,25000,475000,Ernakulam,Distributor,ISP,Full Cash,Kerala
20-01-2022 00:00,INV202104205177,P004,V1600G2,GPON OLT,Netlink,6,180000,200000,10,120000,1080000,Chennai,Retail,Retailer,EMI,Tamil Nadu
20-01-2022 00:00,INV202104203820,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1248,95,100,5,6240,118560,Bangalore,Distributor,ISP,Credit,Tamil Nadu
20-01-2022 00:00,INV202104209485,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1285,95,100,5,6425,122075,Perumbavoor,Distributor,Distributor,Credit,Tamil Nadu
20-01-2022 00:00,INV202104204866,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,178,1900,2000,5,17800,338200,Ernakulam,Retail,Retailer,Full Cash,Kerala
20-01-2022 00:00,INV202104208323,P005,HG2802RGWT,GPON ONT,Netlink,98,4750,5000,5,24500,465500,Perumbavoor,Retail,Retailer,EMI,Tamil Nadu
20-01-2022 00:00,INV202104204700,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,67,1900,2000,5,6700,127300,Coimbatore,Distributor,Distributor,Full Cash,Telangana
20-01-2022 00:00,INV202104204168,P004,V1600G2,GPON OLT,Netlink,5,180000,200000,10,100000,900000,Ernakulam,Wholesale,ISP,Credit,Kerala
20-01-2022 00:00,INV202104209292,P005,HG2802RGWT,GPON ONT,Netlink,185,4750,5000,5,46250,878750,Coimbatore,Retail,ISP,EMI,Tamil Nadu
20-01-2022 00:00,INV202104201541,P004,Termination Box 2-Way Model,Distribution Products,Opton,220,1900,2000,5,22000,418000,Coimbatore,Wholesale,Retailer,Credit,Tamil Nadu
20-01-2022 00:00,INV202104203285,P003,V1600D4-L,GEPON OLT,Netlink,9,90000,100000,10,90000,810000,Coimbatore,Retail,Retailer,Full Cash,Telangana
20-01-2022 00:00,INV202104208992,P005,HG2802RGWT,GPON ONT,Netlink,1,4750,5000,5,250,4750,Ernakulam,Distributor,Distributor,Full Cash,Kerala
21-01-2022 00:00,INV202104213258,P005,HG2802RGWT,GPON ONT,Netlink,283,4750,5000,5,70750,1344250,Coimbatore,Wholesale,Distributor,EMI,Telangana
21-01-2022 00:00,INV202104219929,P004,V1600G2,GPON OLT,Netlink,10,180000,200000,10,200000,1800000,Perumbavoor,Retail,Retailer,Full Cash,Kerala
21-01-2022 00:00,INV202104219950,P003,V1600D4-L,GEPON OLT,Netlink,1,90000,100000,10,10000,90000,Chennai,Distributor,ISP,Credit,Tamil Nadu
21-01-2022 00:00,INV202104218470,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2865,95,100,5,14325,272175,Ernakulam,Wholesale,ISP,EMI,Tamil Nadu
21-01-2022 00:00,INV202104215944,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,88,1900,2000,5,8800,167200,Perumbavoor,Distributor,ISP,Full Cash,Tamil Nadu
21-01-2022 00:00,INV202104214375,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,130,1900,2000,5,13000,247000,Ernakulam,Wholesale,ISP,EMI,Kerala
21-01-2022 00:00,INV202104213944,P004,Termination Box 2-Way Model,Distribution Products,Opton,206,1900,2000,5,20600,391400,Ernakulam,Distributor,ISP,Credit,Kerala
21-01-2022 00:00,INV202104215713,P003,V1600D4-L,GEPON OLT,Netlink,8,90000,100000,10,80000,720000,Chennai,Distributor,Distributor,Credit,Tamil Nadu
21-01-2022 00:00,INV202104214620,P003,V1600D4-L,GEPON OLT,Netlink,1,90000,100000,10,10000,90000,Ernakulam,Wholesale,Distributor,Full Cash,Kerala
22-01-2022 00:00,INV202104221861,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,28,1900,2000,5,2800,53200,Ernakulam,Distributor,Distributor,Credit,Kerala
22-01-2022 00:00,INV202104222971,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,142,1900,2000,5,14200,269800,Coimbatore,Retail,ISP,Credit,Delhi
22-01-2022 00:00,INV202104225136,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1360,95,100,5,6800,129200,Perumbavoor,Distributor,Retailer,Full Cash,Kerala
22-01-2022 00:00,INV202104229955,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,1259,95,100,5,6295,119605,Bangalore,Wholesale,ISP,Credit,Tamil Nadu
22-01-2022 00:00,INV202104223699,P004,V1600G2,GPON OLT,Netlink,3,180000,200000,10,60000,540000,Ernakulam,Distributor,Retailer,EMI,Tamil Nadu
